"Name","X-Coordiante","Y-Coordinate","Rotation","Value","Package"
"C176","31.650","90.250","0","1nF","0603"
"LED176","32.150","88.000","90","green_150060VS75000","0603"
"IC177","330.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R177","329.625","76.170","0","1.5kR","0603"
"C177","331.650","77.250","0","1nF","0603"
"LED177","332.150","75.000","90","green_150060VS75000","0603"
"IC178","310.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R178","309.625","76.170","0","1.5kR","0603"
"C178","311.650","77.250","0","1nF","0603"
"LED178","312.150","75.000","90","green_150060VS75000","0603"
"IC179","290.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R179","289.625","76.170","0","1.5kR","0603"
"C179","291.650","77.250","0","1nF","0603"
"LED179","292.150","75.000","90","green_150060VS75000","0603"
"IC180","270.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R180","269.625","76.170","0","1.5kR","0603"
"C180","271.650","77.250","0","1nF","0603"
"LED180","272.150","75.000","90","green_150060VS75000","0603"
"IC181","250.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R181","249.625","76.170","0","1.5kR","0603"
"C181","251.650","77.250","0","1nF","0603"
"LED181","252.150","75.000","90","green_150060VS75000","0603"
"IC182","230.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R182","229.625","76.170","0","1.5kR","0603"
"C182","231.650","77.250","0","1nF","0603"
"LED182","232.150","75.000","90","green_150060VS75000","0603"
"IC183","210.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R183","209.625","76.170","0","1.5kR","0603"
"C183","211.650","77.250","0","1nF","0603"
"LED183","212.150","75.000","90","green_150060VS75000","0603"
"IC184","190.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R184","189.625","76.170","0","1.5kR","0603"
"C184","191.650","77.250","0","1nF","0603"
"LED184","192.150","75.000","90","green_150060VS75000","0603"
"IC185","170.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R185","169.625","76.170","0","1.5kR","0603"
"C185","171.650","77.250","0","1nF","0603"
"LED185","172.150","75.000","90","green_150060VS75000","0603"
"IC186","150.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R186","149.625","76.170","0","1.5kR","0603"
"C186","151.650","77.250","0","1nF","0603"
"LED186","152.150","75.000","90","green_150060VS75000","0603"
"IC187","130.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R187","129.625","76.170","0","1.5kR","0603"
"C187","131.650","77.250","0","1nF","0603"
"LED187","132.150","75.000","90","green_150060VS75000","0603"
"IC188","110.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R188","109.625","76.170","0","1.5kR","0603"
"C188","111.650","77.250","0","1nF","0603"
"LED188","112.150","75.000","90","green_150060VS75000","0603"
"IC189","90.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R189","89.625","76.170","0","1.5kR","0603"
"C189","91.650","77.250","0","1nF","0603"
"LED189","92.150","75.000","90","green_150060VS75000","0603"
"IC190","70.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R190","69.625","76.170","0","1.5kR","0603"
"C190","71.650","77.250","0","1nF","0603"
"LED190","72.150","75.000","90","green_150060VS75000","0603"
"IC191","50.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R191","49.625","76.170","0","1.5kR","0603"
"C191","51.650","77.250","0","1nF","0603"
"LED191","52.150","75.000","90","green_150060VS75000","0603"
"IC192","30.000","78.345","90","BGS12P2L6","TSLP-6-4"
"R192","29.625","76.170","0","1.5kR","0603"
"C192","31.650","77.250","0","1nF","0603"
"LED192","32.150","75.000","90","green_150060VS75000","0603"
"IC193","330.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R193","329.625","63.170","0","1.5kR","0603"
"C193","331.650","64.250","0","1nF","0603"
"LED193","332.150","62.000","90","green_150060VS75000","0603"
"IC194","310.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R194","309.625","63.170","0","1.5kR","0603"
"C194","311.650","64.250","0","1nF","0603"
"LED194","312.150","62.000","90","green_150060VS75000","0603"
"IC195","290.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R195","289.625","63.170","0","1.5kR","0603"
"C195","291.650","64.250","0","1nF","0603"
"LED195","292.150","62.000","90","green_150060VS75000","0603"
"IC196","270.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R196","269.625","63.170","0","1.5kR","0603"
